๑. เตมิยชาดก	1. Demi-Jataka
เรื่องเตมิยชาดก เป็นเรื่องหนึ่ง	The story of Demi-Jataka is a certain story
ซึ่งเรามักได้ฟังเล่ากันมาแต่เด็ก ๆ	which we often hear told among ourselves since childhood
หรืออย่างน้อย ก็คงได้เคยได้ยินชื่อ	or at least (we) probably have heard the name
เรียกกันว่า พระเตมิยใบ้	called Prince Temiya the Mute
เนื้อเรื่องคล้ายว่า	The story is as follows:
พระราชาองค์หนึ่ง ทรงพระนามว่า กาสิกราช	A certain king (who was) named Kāsirāja
ครองเมืองพาราณสี	ruled the city of Bārāṇasī
ครองราชสมบัตินาน	(and) ruled the kingdom for a long time
ไม่มีพระโอรส	(but) had no son
จนเกิดความวิตกกันว่า	until concern arose that
จะไม่มีผู้สืบราชสมบัติ	there would be no heir to the throne
ต่อมาภายหลัง มีพระโอรสองค์หนึ่ง	Later on, (he) had a son
จึงเป็นที่ยินดีของคนทั่วไป	thus bringing joy to everyone
พระราชาจึงทรงพระนามพระโอรสว่า เตมิย	The king therefore named his son Temiya
ซึ่งบ่งว่าเป็นที่ยินดีของคนทั้งหลาย	which means "beloved by the people"
พระราชาจึงตั้งให้หานมแม่เป็นจำนวนมากมายมาไว้	The king then ordered a large number of wet nurses to be gathered
สำหรับพระโอรส	for the prince
ในตอนนี้เราได้ความรู้ใน วิธีเลือก แม่นม ของคนโบราณ	At this point, we learn about the ancient method of selecting wet nurses
พร้อมทั้งเหตุผลดังต่อไปนี้	along with the reasons as follows:
๑. แม่นม ต้องไม่เป็นคนสูง	Wet nurses must not be tall
เพราะจะทำให้เด็กคอยาว	because it would make the child's neck long
๒. แม่นม ต้องไม่เป็นคนเตี้ย	Wet nurses must not be short
เพราะจะทำให้เด็กคอหด	because it would make the child's neck shrink
