๓. แม่นม ต้องไม่อ่อนเกินไป	Wet nurses must not be too soft
เพราะจะทำให้ขา ของเด็กเหยียดตึง	Because it will make the child's legs stiff
๔. แม่นม ต้องไม่อ้วนเกินไป	Wet nurses must not be too fat
เพราะจะทำให้เด็กขาเพลีย	Because it will make the child's legs weak
๕. แม่นม ต้องไม่เป็นคนดำ	Wet nurses must not be dark-skinned
เพราะน้ำนมจะเย็นชีพ	Because the milk will be cold in nature
๖. แม่นม ต้องไม่เป็นคนขาว	Wet nurses must not be fair-skinned
เพราะน้ำนมจะร้อน	Because the milk will be hot
๗. แม่นม ต้องไม่เป็นคนถันยาน	Wet nurses must not have sagging breasts
เพราะจะจับจมูกเด็ก	Because it will cover the child's nose
๘. แม่นม ต้องไม่เป็นโรคหืด	Wet nurses must not have asthma
เพราะน้ำนมจะเปรี้ยว	Because the milk will turn sour
๙. แม่นม ต้องไม่เป็นโรคมองกรอ	Wet nurses must not have leprosy
เพราะน้ำนมจะมีกลิ่นเผ็ด	Because the milk will have a pungent smell
ตามนมที่กล่าวมาจะเห็นได้ว่า	From the wet nurses mentioned, we can see that
การหานมแม่ไม่ใช่เป็นของง่าย	Finding a wet nurse is not easy
หลักการเลือกเหล่านี้	These selection principles
อาจใช้ไม่ได้ในสมัยนี้	May not apply in this era
หรือว่า	Or perhaps
ยาการย์สมัยใหม่จะพิสูจน์ได้ว่า	Modern medicine may prove that
ไม่	(Not)
